description,category,subcategory,priority
Replica lag critical ! started after recent schema update - all data access blocked,DATABASE,Availability,2
Database hung ! database console showing multiple errors - finance system can't access data,DATABASE,Availability,1
DDL operation hung (database metrics showing anomalies) . trigger causing exceptions . transactions not processing,DATABASE,Schema Management,1
Data sync conflict - memory usage growing exponentially on DB server ! business intelligence platform affected,DATABASE,Replication,1
Excessive temp usage (issue reproducible in all database environments) ; timeouts on simple selects - business operations severely affected due to database issues,DATABASE,Performance,1
Time-critical alert: Failed login attempts ! entire company database access affected - user accounts locked,DATABASE,User Access,2
Index scan bottleneck (multiple instances affected) ; timeouts on simple selects - business operations severely affected due to database issues,DATABASE,Performance,2
Materialized view refresh failed - error rate spiking in DB monitoring ! impacting all database-dependent services,DATABASE,Schema Management,3
IMMEDIATE ACTION REQUIRED: Database Blocking transactions - CPU usage at 100 on DB server - error logs attached in screenshot,DATABASE,Performance,1
Invalid object reference - error code in logs ! finance system can't access data,DATABASE,Schema Management,4
Query logging failed (started after recent schema update) ; performance counters reset - business intelligence platform affected,DATABASE,Monitoring & Logging,1
Data type mismatch - started after morning maintenance ! all data access blocked,DATABASE,Data Integrity,1
Database service crashed: database service not listed - entire ERP system down,DATABASE,Availability,1
Backup space depleted: query memory grants failing - error rate spiking in DB monitoring,DATABASE,Capacity,3
P1 DB INCIDENT: Replication topology broken - replication topology broken - all data access blocked,DATABASE,Replication,2
Constraint error ! getting ORA-errors - customer-facing database services impacted,DATABASE,Data Integrity,1
P1 DB INCIDENT: Permission denied error - login failures for all users - business operations severely affected due to database issues,DATABASE,User Access,2
P1 DB INCIDENT: Backup job failed - can't access backup files - database-dependent services down,DATABASE,Backup & Recovery,3
HIGH PRIORITY DB ISSUE: Broken view definition ! database-dependent services down,DATABASE,Schema Management,1
Listener misconfiguration (error code in logs) ; SPFILE corruption detected - critical business processes blocked by DB issue,DATABASE,Configuration,3
CRITICAL: Database error in Failed stored procedure - trigger causing exceptions - all data access blocked,DATABASE,Schema Management,1
Invalid object reference: invalid object references - database console showing multiple errors,DATABASE,Schema Management,1
Invalid connection string - database console showing multiple errors ! entire company database access affected,DATABASE,Configuration,2
Datafile autoextend failed: no space left for transactions - multiple instances affected,DATABASE,Capacity,2
Time-critical alert: Table lock contention ! entire ERP system down - queries taking 10+ minutes,DATABASE,Performance,2
Database error preventing work Schema change failed - invalid object references - rebooted database server,DATABASE,Schema Management,2
DATABASE ALERT: Connection limit reached ! preventing order processing in database,DATABASE,Capacity,1
Replica lag critical (multiple users reporting same database problem) ; can't establish any connections - all queries failing,DATABASE,Availability,3
Time-critical alert: Log files filled disk ! finance system can't access data - query memory grants failing,DATABASE,Capacity,1
Buffer cache thrashing: index not being used - getting ORA-errors,DATABASE,Performance,4
Time-critical alert: Replication stopped ! multiple clients affected by database outage - conflicting updates in multi-master,DATABASE,Replication,2
Replication stopped (database metrics showing anomalies) . distribution latency critical . revenue-generating database down,DATABASE,Replication,1
Emergency - Can't access Backup space depleted - temp tablespace full errors - impacting all database-dependent services,DATABASE,Capacity,3
Broken view definition: schema validation errors - entire ERP system down,DATABASE,Schema Management,1
Emergency - Can't access Referential integrity failure ! impacting all database-dependent services,DATABASE,Data Integrity,1
Event notification failure ! logs showing cascade of database failures - customer-facing database services impacted,DATABASE,Monitoring & Logging,4
Time sensitive: Datafile autoextend failed - multiple clients affected by database outage - max file size reached,DATABASE,Capacity,2
Important: Problems with database Constraint error - unexpected NULL values - started after morning maintenance,DATABASE,Data Integrity,1
Parameter file corruption ! tried different connection methods - customer data unavailable,DATABASE,Configuration,2
CRITICAL DB ALERT: Listener misconfiguration ! multiple clients affected by database outage,DATABASE,Configuration,1
Time sensitive DB issue: Session limit reached - grant operations failing - started after recent schema update,DATABASE,User Access,2
CRITICAL: Database error in Failed login attempts - grant operations failing - finance system can't access data,DATABASE,User Access,1
Time-critical alert: Sequence generation error ! transactions not processing - trigger causing exceptions,DATABASE,Schema Management,3
Tablespace at capacity: log files filling entire volume - reports not generating,DATABASE,Capacity,1
Time-critical alert: Session limit reached ! customer data unavailable - proxy authentication errors,DATABASE,User Access,2
Immediate database assistance needed: Resource limit exceeded - proxy authentication errors - impacting all database-dependent services,DATABASE,User Access,1
CRITICAL: Database error in Change tracking failed ! impacting all database-dependent services,DATABASE,Replication,1
Query timeout: deadlocks occurring frequently - all attempts to connect fail,DATABASE,Performance,2
HELP - DB down DDL operation hung !!! preventing order processing in database,DATABASE,Schema Management,3
MAJOR DATABASE INCIDENT: Datafile autoextend failed ! preventing order processing in database,DATABASE,Capacity,1
Slow query execution ! all retry attempts to database failed - production database pipeline completely stopped,DATABASE,Performance,4
IMMEDIATE ACTION REQUIRED: Database Tablespace at capacity - no space left for transactions - entire company database access affected,DATABASE,Capacity,3
Replication topology broken: replication topology broken - issue reproducible in all database environments,DATABASE,Replication,2
Immediate database assistance needed: Inconsistent query results ! customer data unavailable,DATABASE,Data Integrity,1
Replica lag critical: instance crashed with core dump - transactions not processing,DATABASE,Availability,2
Incomplete backup set (tried different connection methods) . recovery operation hanging . critical business processes blocked by DB issue,DATABASE,Backup & Recovery,2
BLOCKING DATABASE ISSUE: Performance metrics missing - audit trail missing entries - error code in logs,DATABASE,Monitoring & Logging,2
Time-critical alert: Monitoring agent disconnected ! transactions not processing - audit trail missing entries,DATABASE,Monitoring & Logging,3
Emergency - Can't access Connection pool exhausted - instance crashed with core dump - revenue-generating database down,DATABASE,Availability,2
CRITICAL: Database error in Foreign key violation - query results inconsistent - checked database logs,DATABASE,Data Integrity,2
HIGH PRIORITY DB ISSUE: Point-in-time recovery error !!! database-dependent services down,DATABASE,Backup & Recovery,1
Time sensitive: Database cluster unavailable - can't process customer orders in database - can't establish any connections,DATABASE,Availability,4
P1 DB INCIDENT: Password expired ! database-dependent services down,DATABASE,User Access,1
Invalid object reference ! checked database logs - critical business processes blocked by DB issue,DATABASE,Schema Management,3
IMMEDIATE ACTION REQUIRED: Database Instance parameter error ! business operations severely affected due to database issues,DATABASE,Configuration,3
Time sensitive: Missing required fields - customer-facing database services impacted - checksums failing,DATABASE,Data Integrity,1
Health check reporting errors (getting ORA-errors) . trace files not being created . production database pipeline completely stopped,DATABASE,Monitoring & Logging,3
HIGH PRIORITY DB ISSUE: CDC process failed - circular replication error - database-dependent services down,DATABASE,Replication,1
CRITICAL DB ALERT: Function compilation error - stored procedure compilation errors - issue reproducible in all database environments,DATABASE,Schema Management,2
Database hung - tried restarting instance ! revenue-generating database down,DATABASE,Availability,1
Master-slave desync ! rebooted database server - critical business processes blocked by DB issue,DATABASE,Replication,1
Emergency - Can't access User quota exceeded - suddenly can't access any tables - revenue-generating database down,DATABASE,User Access,2
Time sensitive: Datafile autoextend failed - preventing order processing in database - connection pool exhausted,DATABASE,Capacity,4
Invalid database config (error rate spiking in DB monitoring) . initialization parameters invalid . multiple clients affected by database outage,DATABASE,Configuration,1
Production DB blocked by Memory settings misconfigured ! business intelligence platform affected,DATABASE,Configuration,3
Index rebuild error (started after morning maintenance) . invalid object references . preventing order processing in database,DATABASE,Schema Management,1
Backup validation failed (all attempts to connect fail) . log sequence gap detected . entire ERP system down,DATABASE,Backup & Recovery,1
Replication topology broken - getting ORA-errors ! critical business processes blocked by DB issue,DATABASE,Replication,4
Database timeout: instance crashed with core dump - entire company database access affected,DATABASE,Availability,1
URGENT: Database Parameter file corruption - incompatible character sets - all retry attempts to database failed,DATABASE,Configuration,1
Time sensitive DB issue: Failed stored procedure - invalid object references - customer data unavailable,DATABASE,Schema Management,2
Backup validation failed ! all retry attempts to database failed - reports not generating,DATABASE,Backup & Recovery,1
Data corruption detected ! checked database logs - revenue-generating database down,DATABASE,Data Integrity,2
