ticket_id,description,category,subcategory,priority,status,created_timestamp,resolved_timestamp,requester_type,resolution_hours
INC369204,Legal reporting Driver degraded issue affecting 5 users (since this morning),SOFTWARE,Driver,2,Resolved,2025-02-09 17:20:39,2025-02-13 21:56:18,Manager,100.59438974137827
INC873398,"HQ Building, Mezzanine - Directory Services: attribute corruption - impacting multiple workstations",IDENTITY,Directory Services,3,In Progress,2025-01-25 14:41:23,,VIP,
INC937279,"Service alert: GCP issue detected, impacting all devices",CLOUD,GCP,3,Resolved,2024-10-26 18:56:33,2024-10-28 03:11:06,Manager,32.24260655061261
INC896360,"Service alert: Azure minor DevOps pipeline failure detected, impacting core services",CLOUD,Azure,2,Resolved,2024-12-13 15:32:36,2024-12-16 15:50:37,Contractor,72.30051809491357
INC480560,"Security R&D Lab, Mezzanine: department operations reporting Policy minor unauthorized resource (following maintenance)",COMPLIANCE,Policy,2,Resolved,2025-02-08 13:16:13,2025-02-11 03:04:26,VIP,61.80363506236442
INC974386,Office Suite issue identified by critical services in Data Center (following maintenance),SOFTWARE,Office Suite,2,Resolved,2025-02-05 12:36:11,2025-02-06 16:46:10,Employee,28.166556804597136
INC777281,"Service alert: Policy Violation issue detected, impacting 1 servers",SECURITY,Policy Violation,4,Workaround Provided,2025-02-06 18:13:07,2025-02-07 01:48:28,External,7.589388405651592
INC356074,[Compliance] 10 users affected by Enterprise Software error (recurring issue) - Asset tag: DEV-3428,SOFTWARE,Enterprise Software,2,Resolved,2024-12-25 11:37:38,2024-12-30 04:17:22,External,112.66242844886607
INC758890,[Marketing] core services affected by Malware trojan infection (intermittently throughout the day),SECURITY,Malware,4,Duplicate,2024-08-25 08:26:47,2024-08-25 17:02:30,Employee,8.595419966147778
INC957775,Supply Chain reporting DNS cache poisoning affecting critical operations,NETWORK,DNS,3,Closed,2025-01-26 17:43:42,2025-01-28 05:57:12,Employee,36.22524584321036
INC962992,Development reporting Proxy malfunction affecting 3 users,NETWORK,Proxy,2,In Progress,2025-01-19 10:51:51,,External,
INC657108,Incident: display failure with AV Equipment reported from Customer Site,HARDWARE,AV Equipment,2,Closed,2024-08-25 00:17:45,2024-08-26 23:46:49,Contractor,47.484587993092745
INC174920,"Incident: failure with Physical Security noticed from Data Center, Operations Center",SECURITY,Physical Security,3,Resolved,2025-01-27 11:00:22,2025-01-29 04:30:34,VIP,41.50351698243194
INC628046,WAN error reported by 1 terminals in Field Location,NETWORK,WAN,1,Pending,2025-01-07 14:36:47,,Employee,
INC133959,[Regional HQ] Operations reports Hybrid Cloud problem for all terminals,CLOUD,Hybrid Cloud,3,Open,2024-11-12 21:49:20,,Contractor,
INC933114,"Audit failed audit check reported by 5 users in HQ Building, Basement",COMPLIANCE,Audit,3,Resolved,2024-12-22 08:42:43,2024-12-23 23:42:47,VIP,39.00132643231129
INC223051,"Service alert: DNS critical DNSSEC validation detected, impacting business operations",NETWORK,DNS,4,Closed,2025-01-26 16:58:35,2025-01-27 01:18:53,Manager,8.33846347738329
INC990594,"high CPU in Firewall system affecting multiple endpoints at Warehouse, Executive Floor - Software version: 8.13.69",NETWORK,Firewall,2,Workaround Provided,2025-02-12 06:55:16,2025-02-14 10:05:24,VIP,51.168957007324366
INC304147,"Service alert: Office Suite major malfunction detected, impacting multiple users",SOFTWARE,Office Suite,3,Pending,2025-01-13 09:52:48,,Employee,
INC592640,Incident: outage with Insider Threat flagged from HQ Building,SECURITY,Insider Threat,4,Resolved,2025-02-09 11:42:32,2025-02-09 23:14:23,VIP,11.531083724134522
INC919935,Sales Co-working Space: department operations encountering Peripheral critical problem (gradual degradation),HARDWARE,Peripheral,4,Resolved,2024-08-28 14:40:55,2024-08-28 17:25:29,Employee,2.743033077301617
INC919128,"[Building A, Ground Floor] Legal reports Workstation keyboard not responding for team operations (intermittently throughout the day)",HARDWARE,Workstation,1,Workaround Provided,2025-01-22 09:36:33,2025-01-30 22:07:40,VIP,204.51887138504614
INC541359,"encoding problems in Data Quality system preventing access for business operations at Regional HQ, 2nd Floor",DATA,Data Quality,4,Workaround Provided,2025-02-12 14:48:18,2025-02-13 00:20:13,External,9.531951660453649
INC361871,"Authentication incident - Kerberos ticket problem - Manufacturing Plant, Mezzanine - Affecting: critical operations",IDENTITY,Authentication,3,In Progress,2025-01-14 12:02:13,,VIP,
INC332181,"Research Branch Office, 1st Floor: team operations experiencing Internet bandwidth throttling (recurring issue) - Vendor ticket: CASE46672",NETWORK,Internet,1,Resolved,2025-01-27 17:03:45,2025-02-01 05:35:18,Employee,108.52589041611368
INC116857,"Service alert: GCP problem detected, impacting 1 devices (recurring issue)",CLOUD,GCP,1,Resolved,2024-09-14 12:10:07,2024-09-18 09:23:50,External,93.22885392104347
INC261779,Operations Customer Site: customer-facing services experiencing WAN degraded problem,NETWORK,WAN,4,Workaround Provided,2025-01-29 08:52:01,2025-01-29 16:21:55,Manager,7.498517996001937
INC502608,[HR] core services affected by GCP problem (sudden onset),CLOUD,GCP,4,Resolved,2025-01-07 14:48:28,2025-01-07 21:51:15,Employee,7.046532173732852
INC327935,Cloud Service incident - minor excessive billing - Satellite Office - Affecting: customer-facing services,SOFTWARE,Cloud Service,1,Workaround Provided,2025-01-30 15:35:20,2025-02-09 06:27:00,External,230.86113932287537
INC309403,[Security] 1 servers affected by GCP intermittent outage,CLOUD,GCP,3,Resolved,2024-12-31 21:43:56,2025-01-01 13:50:33,VIP,16.110345640551195
INC669174,"Insider Threat major error reported by 1 user in HR in Distribution Center, Ground Floor (sudden onset)",SECURITY,Insider Threat,1,Resolved,2024-12-07 14:33:13,2024-12-16 03:03:38,External,204.5072020664025
INC561528,"schema issues in Directory Services system hindering critical services at HQ Building, Mezzanine (after the recent update)",IDENTITY,Directory Services,2,Workaround Provided,2024-11-09 16:22:57,2024-11-13 15:48:32,Employee,95.42655941227754
INC574417,"Service alert: Virtualization snapshot issues detected, impacting critical operations",SOFTWARE,Virtualization,3,Workaround Provided,2025-01-22 09:08:25,2025-01-23 23:50:18,Employee,38.69825697377798
