description,category,subcategory,priority
Network notification: Unprecedented problems with wireless AP today. Confirmed as Access point failure,NETWORK,WiFi,2
Urgent network ticket: Bad network cable detected on network termination at remote site,NETWORK,Physical Connectivity,1
NET inquiry: What's wrong with the bandwidth utilization? Showing symptoms of High round-trip time,NETWORK,Network Performance,3
NETOPS: enterprise infrastructure is crawling! Investigation shows Remote desktop service failure,NETWORK,Enterprise Services,4
Network notification: Unprecedented problems with WiFi channel today. Confirmed as Beacon frame issues,NETWORK,WiFi,2
Urgent network ticket: DHCP scope depletion detected on IP allocation at corporate headquarters,NETWORK,IP Addressing,4
NET: Beacon frame issues reported in wireless spectrum at main office - creating access issues,NETWORK,WiFi,2
"Network operations ticket: Without flow control, departments can't work! Identified as CPU bottleneck on network device",NETWORK,Network Performance,2
"Network operations ticket: Without transit network, departments can't work! Identified as High latency",NETWORK,Connectivity,3
NET assistance: Having trouble connecting to the network fabric. Diagnosis shows Network congestion,NETWORK,Connectivity,3
NETOPS: business connectivity connectivity broken - can't connect to anything due to Cloud service connectivity,NETWORK,Enterprise Services,1
Network ticket: Getting 'no internet access' on all devices connected to FQDN resolution. Root cause: Zone transfer error,NETWORK,DNS,1
NET inquiry: What's wrong with the business connectivity? Showing symptoms of Intranet access issues,NETWORK,Enterprise Services,1
NET inquiry: What's wrong with the DNS zone? Showing symptoms of DNS amplification attack,NETWORK,DNS,1
Network VPN: network termination keeps disconnecting every few minutes due to Switch hardware failure,NETWORK,Physical Connectivity,2
"Network status: business systems says 'connected, no internet' because of Exchange server network issues",NETWORK,Enterprise Services,3
Network emergency: mission-critical applications is completely dead - need immediate help! Cause: SharePoint access problems,NETWORK,Enterprise Services,2
NET ticket: Packet loss in network pipe at remote site requiring network team attention,NETWORK,Connectivity,1
Network helpdesk: Would you mind looking into the physical medium issues? Related to Cable disconnection,NETWORK,Physical Connectivity,2
Network helpdesk: Would you mind looking into the patch connections issues? Related to Port physical damage,NETWORK,Physical Connectivity,1
"Network operations ticket: Without mission-critical applications, departments can't work! Identified as Cloud service connectivity",NETWORK,Enterprise Services,2
NET priority: Please fix traffic engineering ASAP - teams can't work due to Memory buffer exhaustion,NETWORK,Network Performance,1
"Network status: WAN link says 'connected, no internet' because of Network congestion",NETWORK,Connectivity,3
NETOPS: core routing is crawling! Investigation shows MAC address flooding,NETWORK,Connectivity,3
NET performance: Users losing patience with slow DNS protocol connection caused by DNS record misconfiguration,NETWORK,DNS,4
"NET: Not sure if it's just one department, but the network pipe has MAC address flooding",NETWORK,Connectivity,2
NETWORK: network services keeps dropping every few minutes. Network team confirmed Video conferencing service down,NETWORK,Enterprise Services,3
NET assistance: Having trouble connecting to the business systems. Diagnosis shows File sharing service disruption,NETWORK,Enterprise Services,2
Network ticket: Getting 'no internet access' on all devices connected to copper/fiber link. Root cause: Bad network cable,NETWORK,Physical Connectivity,1
NET-DNS: Getting 'DNS server not found' errors on WiFi channel. Root cause: WiFi coverage gap,NETWORK,WiFi,2
Network monitoring alert: WiFi throughput degradation affecting wireless network at data center causing service disruption,NETWORK,WiFi,3
NET performance: Users losing patience with slow IP allocation connection caused by NAT configuration error,NETWORK,IP Addressing,1
Network emergency: TCP/IP stack is completely dead - need immediate help! Cause: IP allocation failure,NETWORK,IP Addressing,3
Network helpdesk: Would you mind looking into the name resolution issues? Related to DNS amplification attack,NETWORK,DNS,4
NET: Invalid IP configuration reported in IP schema at main office - causing service disruption,NETWORK,IP Addressing,2
NET: Network loop reported in WAN link at manufacturing floor - impacting user connectivity,NETWORK,Connectivity,2
"Network operations ticket: Without network addressing, departments can't work! Identified as Subnet mask misconfiguration",NETWORK,IP Addressing,3
NET alert: Can't connect to the network services - says 'unreachable' due to Network drive mapping failure,NETWORK,Enterprise Services,2
"Network status: WiFi channel says 'connected, no internet' because of Authentication failure",NETWORK,WiFi,4
NET support needed: Keep losing connection to wireless spectrum. Suspected WiFi client disconnections,NETWORK,WiFi,2
NET-DNS: Getting 'DNS server not found' errors on network QoS. Root cause: QoS misconfiguration,NETWORK,Network Performance,2
NETWORK/Enterprise Services: Cloud service connectivity detected during mission-critical applications monitoring at main office,NETWORK,Enterprise Services,4
Network support: Been trying to connect to network fabric for hours. Diagnosed as Switch port error,NETWORK,Connectivity,3
Network support: Been trying to connect to corporate network for hours. Diagnosed as Unified communications failure,NETWORK,Enterprise Services,1
Network monitoring alert: Slow file transfer affecting network metrics at data center causing service disruption,NETWORK,Network Performance,3
NET access: Can't access shared resources via physical layer - reports 'network error' related to Bad network cable,NETWORK,Physical Connectivity,1
Network ticket: Getting 'no internet access' on all devices connected to physical layer. Root cause: Port physical damage,NETWORK,Physical Connectivity,3
NET assistance: Having trouble connecting to the OSI layer 1-3 issue. Diagnosis shows MAC address flooding,NETWORK,Connectivity,3
NETWORK: Everything is timing out - flow control appears to have Traffic shaping issues,NETWORK,Network Performance,3
NET-DNS: Getting 'DNS server not found' errors on network QoS. Root cause: High round-trip time,NETWORK,Network Performance,2
Network helpdesk: Would you mind looking into the wireless spectrum issues? Related to WiFi client disconnections,NETWORK,WiFi,3
NETWORK/DNS: Zone transfer error detected during domain name system monitoring at manufacturing floor,NETWORK,DNS,4
Network notification: Unprecedented problems with network termination today. Confirmed as Physical media converter failure,NETWORK,Physical Connectivity,1
NETOPS: Multiple reports of DNS resolution failure with TCP/IP stack affecting multiple users,NETWORK,IP Addressing,1
Network incident: Something's wrong with the enterprise application - diagnostic confirmed Exchange server network issues,NETWORK,Enterprise Services,2
"NETWORK URGENT: The name resolution is down, and teams have deadlines! Issue identified as Zone transfer error",NETWORK,DNS,3
Network VPN: TCP/IP stack keeps disconnecting every few minutes due to DNS resolution failure,NETWORK,IP Addressing,1
Network team: Please help with DNS hierarchy problems. Symptoms point to Name server unavailable,NETWORK,DNS,3
Network support: Been trying to connect to network throughput for hours. Diagnosed as Application timeout,NETWORK,Network Performance,4
Network request: Could IT please check the OSI layer 1-3 issue? It's very slow due to Intermittent connectivity,NETWORK,Connectivity,3
Urgent network ticket: Network jack damage detected on physical medium at data center,NETWORK,Physical Connectivity,1
NET access: Can't access shared resources via TCP/IP stack - reports 'network error' related to IP routing loop,NETWORK,IP Addressing,2
