ticket_id,description,category,subcategory,priority,created_timestamp,status,requester_type
SEC381021,fake DNS records detected - impacting customer data - caught by firewall,SPOOFING,DNS Spoofing,3,2025-02-13 00:59:48,Contained,Network Admin
SEC680581,potential compromise - impacting customer data - detected by IDS,SPOOFING,DHCP Spoofing,2,2025-02-12 17:57:48,Contained,Security Tool
SEC842186,kernel modification attempt - degrading system performance - reported by user,MALWARE,Rootkit,3,2025-01-23 10:12:48,In Progress,SOC Analyst
SEC379125,potential compromise - impacting critical data - identified by SOC,SPOOFING,MAC Spoofing,4,2025-02-03 10:51:48,Resolved,Network Admin
SEC825734,browser history theft - degrading network performance - caught by firewall,MALWARE,Spyware,3,2025-02-07 21:35:48,Open,Network Admin
SEC380210,header manipulation detected - compromising 20 user accounts - reported by user,SPOOFING,Email Spoofing,3,2025-02-14 10:22:48,Escalated,Network Admin
SEC485462,suspicious activity - degrading application performance - flagged by SIEM,SPOOFING,DHCP Spoofing,2,2025-01-24 07:28:48,Open,Network Admin
SEC509903,security violation - affecting 56 systems - caught by firewall,SPOOFING,GPS Spoofing,3,2025-02-02 17:01:48,Escalated,Security Tool
SEC918415,SSO bypass attempt - degrading network performance - identified by SOC,ACCESS_CONTROL,Authentication Bypass,3,2025-02-11 11:11:48,Contained,Network Admin
SEC677151,suspicious activity - impacting financial data - reported by user,HIJACKING,Browser Hijacking,3,2025-02-13 02:19:48,Escalated,System Admin
SEC991150,suspicious activity - degrading system performance - identified by threat hunting,ACCESS_CONTROL,Access Bypass,4,2025-02-15 16:33:48,Escalated,SOC Analyst
SEC543642,system file manipulation - compromising 50 user accounts - identified by threat hunting,MALWARE,Rootkit,2,2025-01-26 15:31:48,Escalated,Network Admin
SEC722549,suspicious activity - compromising 2 user accounts - detected by IDS,MALWARE,Keylogger,4,2025-02-20 06:31:48,In Progress,Security Tool
SEC473864,ARP table manipulation - impacting financial data - discovered during audit,SPOOFING,ARP Spoofing,4,2025-02-09 12:41:48,Open,Network Admin
SEC689278,gratuitous ARP detected - degrading service performance - caught by firewall,SPOOFING,ARP Spoofing,4,2025-02-08 12:09:48,Open,Security Engineer
SEC285768,security violation - affecting 50 systems - identified by threat hunting,ACCESS_CONTROL,Authorization Bypass,3,2025-02-16 21:22:48,Open,Security Engineer
SEC925125,security violation - degrading service performance - reported by user,SPOOFING,DHCP Spoofing,4,2025-01-31 18:47:48,Open,Security Tool
SEC286544,security violation - impacting sensitive data - reported by EDR,ACCESS_CONTROL,Authorization Bypass,3,2025-02-03 17:37:48,Open,System Admin
SEC278414,unauthorized gateway change - affecting 75 systems - reported by EDR,HIJACKING,Network Hijacking,3,2025-01-26 00:26:48,Contained,Security Engineer
SEC134873,security violation - compromising 18 user accounts - discovered during audit,HIJACKING,Click Hijacking,4,2025-01-29 05:23:48,In Progress,Security Tool
SEC508959,unauthorized data exfiltration - degrading application performance - caught by firewall,MALWARE,Spyware,3,2025-01-25 20:51:48,Contained,Network Admin
SEC943839,suspicious activity - degrading application performance - reported by user,MALWARE,Keylogger,3,2025-02-20 17:48:48,Open,Security Tool
SEC849485,session fixation attempt - impacting critical data - identified by SOC - Cookie Length: 186,HIJACKING,Session Hijacking,4,2025-01-22 04:10:48,In Progress,System Admin
SEC457544,session replay attack - compromising 1 user accounts - discovered during audit,HIJACKING,Session Hijacking,4,2025-01-24 08:06:48,Escalated,Security Engineer
SEC478608,SPF verification failure - degrading network performance - flagged by SIEM,SPOOFING,Email Spoofing,2,2025-02-05 00:28:48,In Progress,Security Engineer
SEC576595,security violation - compromising 5 user accounts - caught by firewall,ACCESS_CONTROL,MFA Compromise,3,2025-02-02 10:26:48,Resolved,Security Tool
SEC872992,SSL strip attack detected - compromising 9 user accounts - reported by EDR,HIJACKING,Network Hijacking,3,2025-02-18 15:24:48,Contained,System Admin
SEC564601,security violation - degrading network performance - reported by EDR,SPOOFING,DHCP Spoofing,2,2025-02-03 03:10:48,Open,Security Engineer
SEC709514,kernel modification attempt - impacting financial data - identified by threat hunting,MALWARE,Rootkit,3,2025-02-19 16:14:48,Resolved,System Admin
SEC560621,direct object reference - impacting financial data - reported by user,ACCESS_CONTROL,Authentication Bypass,3,2025-02-19 21:01:48,Open,SOC Analyst
SEC170139,suspicious driver loading - compromising 47 user accounts - discovered during audit,MALWARE,Rootkit,4,2025-02-02 16:23:48,Open,Network Admin
SEC839049,unauthorized data collection - affecting 29 systems - discovered during audit,MALWARE,Spyware,4,2025-01-28 02:34:48,Resolved,Security Engineer
SEC938797,security violation - impacting financial data - reported by EDR,SPOOFING,MAC Spoofing,1,2025-01-23 06:20:48,Contained,System Admin
SEC751294,security violation - affecting 54 systems - reported by EDR,MALWARE,Trojan,3,2025-01-25 21:24:48,Open,System Admin
SEC310472,potential compromise - degrading service performance - detected by IDS,SPOOFING,GPS Spoofing,4,2025-02-04 23:29:48,Open,System Admin
SEC579735,suspicious activity - affecting 29 systems - identified by threat hunting,ACCESS_CONTROL,MFA Compromise,3,2025-02-02 10:03:48,Resolved,Network Admin
SEC900409,admin rights abuse - compromising 33 user accounts - identified by threat hunting,ACCESS_CONTROL,Privilege Escalation,3,2025-02-18 14:32:48,Contained,Security Engineer
SEC709925,security violation - affecting 80 systems - caught by firewall,ACCESS_CONTROL,Authorization Bypass,4,2025-02-12 02:46:48,In Progress,Security Tool
SEC813663,BGP route hijacking - degrading application performance - detected by IDS,HIJACKING,Network Hijacking,4,2025-02-04 16:15:48,Resolved,Network Admin
SEC249732,security violation - impacting customer data - detected by IDS,ACCESS_CONTROL,Authorization Bypass,3,2025-02-17 15:39:48,Contained,SOC Analyst
