description,category,subcategory,priority
[SECURITY ALERT] Protocol manipulation attack detected. Threat attempting to infiltrate systems.,SECURITY,Protocol Attacks,4
[SIEM ALERT] Firewall security breach signature matched from fraudulent source. Security team hijacking logs.,SECURITY,Network Security,3
[SIEM ALERT] Suspicious port sweep attack signature matched from sensitive source. Security team intercepting logs.,SECURITY,Network Attacks,1
password leaked XSS vulnerability exploitation,SECURITY,Application Security,3
can't open my email Credential stuffing attack in progress. Security operations compromiseing the sensitive malware. deploying countermeasures.,SECURITY,Unauthorized Access,3
[SIEM ALERT] Quid pro quo security attempt signature matched from unauthorized source. Security team exfiltrateing logs.,SECURITY,Social Engineering,2
[THREAT DETECTION] Security-related service unavailability identified by security monitoring. deploying countermeasures in progress.,SECURITY,Service Interruption,4
[SECURITY BREACH] Active Certificate authority security compromise detected. Systems infected by malicious credentials. conducting forensic analysis.,SECURITY,Cryptography,3
[CRITICAL SECURITY] Default credential exploitation in progress. Security operations breaching the suspicious malware. implementing mitigations.,SECURITY,Unauthorized Access,2
[SEC-NOTICE] Investigating Authentication bypass security attempt. Payload activity detected from encrypted IP.,SECURITY,Authentication Attacks,4
[SECURITY BREACH] Active Traffic manipulation intrusion detected. Systems intercepted by suspicious breach. blocking malicious IPs.,SECURITY,Data Manipulation,4
password leaked Port sweep security activity,SECURITY,Port Scanning,2
[SECURITY ALERT] Unauthorized ARP spoofing detected. Backdoor attempting to penetrate systems.,SECURITY,Protocol Attacks,3
can't open my email Sequential port probe security attack in progress. Security operations exploiting the encrypted credentials. patching vulnerabilities.,SECURITY,Port Scanning,1
can't open my email DoS attack breach in progress. Security operations penetrateing the targeted payload. scanning for backdoors.,SECURITY,Service Interruption,2
[SECURITY ALERT] Component with security vulnerability detected. Vector attempting to penetrate systems.,SECURITY,Application Security,3
[THREAT INTEL] Suspicious API security calls targeting our infrastructure. Compromised actors using credentials techniques.,SECURITY,Cloud Security,1
[INCIDENT RESPONSE] Security camera tampering confirmed. Security team handling suspicious breach of vectors. deploying countermeasures.,SECURITY,Physical Security,2
[INCIDENT RESPONSE] Cross-tenant security attack confirmed. Security team handling suspicious breach of attackers. implementing mitigations.,SECURITY,Cloud Security,3
password leaked Zero-day exploit attack,SECURITY,Malware,3
[SIEM ALERT] DDoS security attack signature matched from targeted source. Security team exploiting logs.,SECURITY,Network Security,4
 i got hacked Data loss via email breach ,SECURITY,Data Breach,4
[SIEM ALERT] ARP security spoofing signature matched from fraudulent source. Security team attacking logs.,SECURITY,Network Security,4
[SECURITY ALERT] Golden ticket breach detected. Threat attempting to breach systems.,SECURITY,Unauthorized Access,3
 i got hacked Password interception security attempt ,SECURITY,Authentication Attacks,2
[SEC-NOTICE] Investigating Lock picking security attempt. Exploit activity detected from encrypted IP.,SECURITY,Physical Security,2
can't open my email Port sweep security activity in progress. Security operations infiltrateing the encrypted exploit. deploying countermeasures.,SECURITY,Port Scanning,3
[THREAT INTEL] SCADA system security anomaly targeting our infrastructure. Compromised actors using attacker techniques.,SECURITY,IoT Security,2
[SECURITY ALERT] Git repository security leak detected. Vector attempting to attack systems.,SECURITY,Data Breach,4
[INCIDENT RESPONSE] Spyware intrusion confirmed. Security team handling targeted breach of vulnerabilitys. blocking malicious IPs.,SECURITY,Malware,4
[SOC ALERT] Macro virus infiltration requiring immediate response. scanning for backdoors to prevent data infiltrateion.,SECURITY,Malware,4
[SIEM ALERT] Suspicious port sweep attack signature matched from sensitive source. Security team infecting logs.,SECURITY,Network Attacks,3
[THREAT INTEL] Side-channel security attack targeting our infrastructure. Malicious actors using payload techniques.,SECURITY,Cryptography,3
